0,0
1,0
2,1
3,1
4,1
5,1
6,2
7,2
8,4
9,5
10,6
11,6
12,8
13,11
14,14
15,17
16,26
17,30
18,38
19,45
20,59
21,76
22,92
23,120
24,150
25,187
26,237
27,291
28,370
29,463
30,549
31,700
32,896
33,993
34,1307
35,1344
36,1748
37,2328
38,2246
39,3013
40,2675
41,3637
42,4956
43,4122
44,5769
45,6516
46,6343
47,8965
48,6562
49,9569
50,13776
51,9656
52,14289
53,9220
54,13871
55,20688
56,12926
57,19844
58,19780
59,18183
60,28120
61,15683
62,25063
63,39486
64,21719
65,34793
66,17949
67,29475
68,47729
69,24121
70,40096
71,37060
72,32380
73,53984
74,25301
75,43303
76,63130
77,33638
78,57961
79,25451
80,44615
81,77346
82,33487
83,59191
84,33013
85,44198
86,78796
87,32294
88,58654
89,86405
90,42409
91,77174
92,30121
93,55927
94,101989
95,39315
96,73381
97,27175
98,51709
99,96477
100,35443
101,67827
102,86979
103,46616
104,88810
105,31563
106,61224
107,105232
108,41470
109,80346
110,27677
111,54371
112,105261
113,36345
114,71601
115,59769
116,47686
117,93793
118,31473
119,62773
120,112113
121,41455
122,82644
123,27104
124,54569
125,109012
126,35917
127,72227
128,23305
129,47319
130,94990
131,30987
132,62585
133,88476
134,41007
135,82815
136,26990
137,54413
138,107408
139,36110
140,72818
141,23907
142,48149
143,96562
144,31941
145,64189
146,72341
147,42401
148,85078
149,28186
150,56582
151,107601
152,37645
153,75572
154,25196
155,50183
156,100494
157,33577
158,67431
159,22469
160,44821
161,89523
162,29829
163,59756
164,105418
165,39754
166,79289
167,26186
168,52744
169,105616
170,34727
171,70043
172,22764
173,46082
174,92831
175,30254
176,61252
177,72758
178,40032
179,81169
180,25839
181,52768
182,104146
183,34263
184,69873
185,21958
186,45081
187,92202
188,28685
189,59346
190,24286
191,37880
192,78413
193,24030
194,50263
195,100166
196,31775
197,66296
198,19941
199,42238
200,88077
201,26343
202,55578
203,16344
204,34795
205,73394
206,21458
207,45791
208,69811
209,28431
210,60822
211,17369
212,37511
213,78883
214,22882
215,49807
216,13751
217,30295
218,65530
219,18031
220,40011
221,16608
222,23999
223,52696
224,14115
225,31576
226,68364
227,18598
228,41964
229,10710
230,24692
231,55356
232,14244
233,32693
234,8100
235,18961
236,43508
237,10951
238,25587
239,51323
240,14583
241,33805
242,8236
243,19596
244,44336
245,11028
246,26148
247,6275
248,14931
249,35026
250,8412
251,20238
252,11417
253,11460
254,27010
255,6347
256,15355
257,35795
258,8752
259,20861
260,4853
261,11795
262,27881
263,6587
264,15916
265,3649
266,8970
267,21476
268,5043
269,12217
270,27273
271,6917
272,16604
273,3842
274,9332
275,22347
276,5210
277,12714
278,2796
279,7005
280,17184
281,3885
282,9615
283,10003
284,5309
285,13039
286,2940
287,7262
288,17566
289,3979
290,9909
291,2118
292,5415
293,13553
294,2920
295,7430
296,1517
297,3967
298,10080
299,2084
300,5515
301,13368
302,2945
303,7480
304,1593
305,4063
306,10295
307,2206
308,5653
309,1168
310,3088
311,7857
312,1695
313,4340
314,6809
315,2317
316,5879
317,1212
318,3171
319,7964
320,1699
321,4363
322,884
323,2354
324,6009
325,1221
326,3260
327,980
328,1697
329,4481
330,887
331,2353
332,6155
333,1261
334,3309
335,643
336,1748
337,4648
338,894
339,2455
340,455
341,1239
342,3426
343,667
344,1781
345,3626
346,916
347,2468
348,468
349,1320
350,3518
351,664
352,1800
353,327
354,918
355,2497
356,463
357,1299
358,435
359,658
360,1840
361,318
362,962
363,2615
364,488
365,1360
366,236
367,718
368,1926
369,344
370,954
371,150
372,452
373,1285
374,228
375,648
376,1688
377,323
378,929
379,157
380,464
381,1324
382,241
383,689
384,120
385,347
386,979
387,179
388,516
389,376
390,250
391,731
392,126
393,352
394,1009
395,172
396,515
397,58
398,251
399,744
400,126
401,371
402,50
403,176
404,534
405,74
406,255
407,733
408,125
409,368
410,55
411,173
412,542
413,81
414,251
415,33
416,115
417,367
418,51
419,189
420,242
421,92
422,290
423,50
424,145
425,394
426,74
427,200
428,27
429,89
430,292
431,34
432,126
433,22
434,61
435,188
436,26
437,85
438,284
439,46
440,140
441,19
442,63
443,219
444,35
445,111
446,18
447,53
448,160
449,21
450,71
451,145
452,27
453,92
